Zeit;Kanal A
(ms);(V)

-3,33399274;0,70973796
-3,33388874;0,70973796
-3,33378474;0,70973796
-3,33368074;0,70973796
-3,33357674;0,70973796
-3,33347274;0,70973796
-3,33336874;0,66252458
-3,33326474;0,66252458
-3,33316074;0,70973796
-3,33305674;0,70973796
-3,33295274;0,66252458
-3,33284874;0,70973796
-3,33274474;0,70973796
-3,33264074;0,66252458
-3,33253674;0,70973796
-3,33243274;0,70973796
-3,33232874;0,66252458
-3,33222474;0,66252458
-3,33212074;0,70973796
-3,33201674;0,66252458
-3,33191274;0,70973796
-3,33180874;0,70973796
-3,33170474;0,70973796
-3,33160074;0,70973796
-3,33149674;0,70973796
-3,33139274;0,66252458
-3,33128874;0,70973796
-3,33118474;0,70973796
-3,33108074;0,70973796
-3,33097674;0,70973796
-3,33087274;0,70973796
-3,33076874;0,70973796
-3,33066474;0,70973796
-3,33056074;0,66252458
-3,33045674;0,70973796
-3,33035274;0,66252458
-3,33024874;0,66252458
-3,33014474;0,66252458
-3,33004074;0,70973796
-3,32993674;0,70973796
-3,32983274;0,70973796
-3,32972874;0,70973796
-3,32962474;0,70973796
-3,32952074;0,66252458
-3,32941674;0,70973796
-3,32931274;0,66252458
-3,32920874;0,70973796
-3,32910474;0,70973796
-3,32900074;0,70973796
-3,32889674;0,70973796
-3,32879274;0,66252458
-3,32868874;0,70973796
-3,32858474;0,70973796
-3,32848074;0,66252458
-3,32837674;0,70973796
-3,32827274;0,66252458
-3,32816874;0,70973796
-3,32806474;0,70973796
-3,32796074;0,70973796
-3,32785674;0,66252458
-3,32775274;0,70973796
-3,32764874;0,70973796
-3,32754474;0,70973796
-3,32744074;0,66252458
-3,32733674;0,70973796
-3,32723274;0,70973796
-3,32712874;0,70973796
-3,32702474;0,70973796
-3,32692074;0,70973796
-3,32681674;0,70973796
-3,32671274;0,70973796
-3,32660874;0,66252458
-3,32650474;0,70973796
-3,32640074;0,70973796
-3,32629674;0,70973796
-3,32619274;0,70973796
-3,32608874;0,70973796
-3,32598474;0,66252458
-3,32588074;0,66252458
-3,32577674;0,70973796
-3,32567274;0,70973796
-3,32556874;0,66252458
-3,32546474;0,75710505
-3,32536074;0,70973796
-3,32525674;0,70973796
-3,32515274;0,66252458
-3,32504874;0,66252458
-3,32494474;0,66252458
-3,32484074;0,70973796
-3,32473674;0,70973796
-3,32463274;0,66252458
-3,32452874;0,70973796
-3,32442474;0,70973796
-3,32432074;0,66252458
-3,32421674;0,66252458
-3,32411274;0,70973796
-3,32400874;0,66252458
-3,32390474;0,70973796
-3,32380074;0,75710505
-3,32369674;0,70973796
-3,32359274;0,70973796
-3,32348874;0,70973796
-3,32338474;0,70973796
-3,32328074;0,70973796
-3,32317674;0,70973796
-3,32307274;0,70973796
-3,32296874;0,70973796
-3,32286474;0,70973796
-3,32276074;0,70973796
-3,32265674;0,66252458
-3,32255274;0,70973796
-3,32244874;0,66252458
-3,32234474;0,70973796
-3,32224074;0,66252458
-3,32213674;0,70973796
-3,32203274;0,70973796
-3,32192874;0,70973796
-3,32182474;0,66252458
-3,32172074;0,66252458
-3,32161674;0,70973796
-3,32151274;0,66252458
-3,32140874;0,66252458
-3,32130474;0,70973796
-3,32120074;0,70973796
-3,32109674;0,70973796
-3,32099274;0,70973796
-3,32088874;0,70973796
-3,32078474;0,66252458
-3,32068074;0,70973796
-3,32057674;0,66252458
-3,32047274;0,70973796
-3,32036874;0,66252458
-3,32026474;0,66252458
-3,32016074;0,66252458
-3,32005674;0,70973796
-3,31995274;0,70973796
-3,31984874;0,70973796
-3,31974474;0,66252458
-3,31964074;0,70973796
-3,31953674;0,66252458
-3,31943274;0,70973796
-3,31932874;0,70973796
-3,31922474;0,66252458
-3,31912074;0,66252458
-3,31901674;0,70973796
-3,31891274;0,66252458
-3,31880874;0,70973796
-3,31870474;0,70973796
-3,31860074;0,70973796
-3,31849674;0,66252458
-3,31839274;0,70973796
-3,31828874;0,70973796
-3,31818474;0,70973796
-3,31808074;0,66252458
-3,31797674;0,70973796
-3,31787274;0,66252458
-3,31776874;0,70973796
-3,31766474;0,70973796
-3,31756074;0,66252458
-3,31745674;0,70973796
-3,31735274;0,70973796
-3,31724874;0,70973796
-3,31714474;0,70973796
-3,31704074;0,70973796
-3,31693674;0,70973796
-3,31683274;0,66252458
-3,31672874;0,70973796
-3,31662474;0,70973796
-3,31652074;0,70973796
-3,31641674;0,70973796
-3,31631274;0,70973796
-3,31620874;0,66252458
-3,31610474;0,66252458
-3,31600074;0,70973796
-3,31589674;0,70973796
-3,31579274;0,66252458
-3,31568874;0,70973796
-3,31558474;0,66252458
-3,31548074;0,70973796
-3,31537674;0,66252458
-3,31527274;0,70973796
-3,31516874;0,66252458
-3,31506474;0,70973796
-3,31496074;0,66252458
-3,31485674;0,70973796
-3,31475274;0,70973796
-3,31464874;0,70973796
-3,31454474;0,70973796
-3,31444074;0,70973796
-3,31433674;0,66252458
-3,31423274;0,70973796
-3,31412874;0,66252458
-3,31402474;0,70973796
